"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","10","C1, C4, C5, C6, C8, C9, C11, C12, C15, C17","100nF","Device:C","Capacitors_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm",""
"2","2","C2, C18","22uF","Device:CP","Capacitors_THT:CP_Radial_D5.0mm_P2.00mm",""
"3","1","C3","220uF","Device:CP","Capacitors_THT:CP_Radial_D8.0mm_P5.00mm",""
"4","4","C7, C10, C13, C16","100uF","Device:CP","Capacitors_THT:CP_Radial_D8.0mm_P2.50mm",""
"5","1","C14","1uF","Device:CP","Capacitors_THT:CP_Radial_D5.0mm_P2.00mm",""
"6","1","C19","2.2uF","Device:C","Capacitors_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm",""
"7","1","C20","220pF","Device:C","Capacitors_THT:C_Rect_L4.6mm_W2.0mm_P2.50mm_MKS02_FKP02",""
"8","1","D1","1N4007","Device:D","Diodes_THT:D_T-1_P10.16mm_Horizontal",""
"9","1","D2","1N5338B","Device:D_Zener","Diodes_THT:D_DO-201AD_P15.24mm_Horizontal",""
"10","1","J1","18 Volt DC In","TFT_selectable_voltage_Ref-rescue:Jack-DC","Connectors:BARREL_JACK",""
"11","1","J2","Battery","TFT_selectable_voltage_Ref-rescue:Conn_01x03_Male","Connectors_JST:JST_XH_B03B-XH-A_03x2.50mm_Straight",""
"12","1","J3","B Vref.","TFT_selectable_voltage_Ref-rescue:Conn_01x02","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"13","1","J4","DAC B Out","TFT_selectable_voltage_Ref-rescue:Conn_01x02","Connectors_JST:JST_XH_B02B-XH-A_02x2.50mm_Straight",""
"14","1","J5","DC Reference Output","TFT_selectable_voltage_Ref-rescue:Conn_01x02","Connectors_JST:JST_XH_B02B-XH-A_02x2.50mm_Straight",""
"15","1","J6","On/Off Switch","TFT_selectable_voltage_Ref-rescue:Conn_01x02_Male","Connectors_JST:JST_XH_B02B-XH-A_02x2.50mm_Straight",""
"16","1","J7","To Display/Nano","TFT_selectable_voltage_Ref-rescue:Conn_01x10_Male","Connectors_JST:JST_XH_B10B-XH-A_10x2.50mm_Straight",""
"17","1","J8","Option Power","TFT_selectable_voltage_Ref-rescue:Conn_01x04_Female","Connectors_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight",""
"18","1","JP1","Jumper","Device:Jumper","Wire_Connections_Bridges:WireConnection_0.80mmDrill",""
"19","1","RV1","10K","TFT_selectable_voltage_Ref-rescue:POT_TRIM","Potentiometers:Potentiometer_Trimmer_Bourns_3296W",""
"20","2","U1, U5","INA105","TFT_selectable_voltage_Ref-rescue:INA105-RESCUE-TFT_selectable_voltage_Ref","Housings_DIP:DIP-8_W7.62mm_Socket_LongPads",""
"21","2","U2, U6","DG303B","TFT_selectable_voltage_Ref-rescue:DG303B","Housings_DIP:DIP-14_W7.62mm_Socket_LongPads",""
"22","1","U3","TC962","TFT_selectable_voltage_Ref-rescue:TC962","Housings_DIP:DIP-8_W7.62mm_Socket_LongPads",""
"23","1","U4","LM7815_TO220","TFT_selectable_voltage_Ref-rescue:LM7812_TO220","Power_Integrations:TO-220",""
"24","1","U7","LM7915_TO220","TFT_selectable_voltage_Ref-rescue:LM7912_TO220","Power_Integrations:TO-220",""
"25","1","U8","LM7805_TO220","TFT_selectable_voltage_Ref-rescue:LM7805_TO220","Power_Integrations:TO-220",""
"26","1","U9","MCP4922EP","TFT_selectable_voltage_Ref-rescue:MCP4922EP","Housings_DIP:DIP-14_W7.62mm_Socket_LongPads",""
"27","1","U10","MAX6341","TFT_selectable_voltage_Ref-rescue:MAX6341","Housings_DIP:DIP-8_W7.62mm_Socket_LongPads",""
"28","1","U11","MCP1501_10","TFT_selectable_voltage_Ref-rescue:MCP1501_SOIC-8","Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm",""
